Motion Through Fluids Experiment Mon, Mar 09, 2020 4:24 PM
Time(sec)	Position(mm)
0.031	29.652
0.131	30.746
0.181	31.839
0.231	32.386
0.281	33.479
0.331	34.026
0.381	34.573
0.432	35.666
0.481	36.213
0.531	37.307
0.582	37.853
0.631	38.400
0.681	39.494
0.731	40.040
0.781	41.134
0.831	41.681
0.881	42.227
0.931	43.321
0.981	43.868
1.031	44.961
1.081	45.508
1.131	46.601
1.181	47.148
1.231	47.695
1.281	48.788
1.332	49.335
1.381	50.428
1.431	50.975
1.481	51.522
1.531	52.615
1.581	53.162
1.631	54.256
1.681	54.802
1.731	55.349
1.781	56.443
1.831	56.989
1.881	57.536
1.931	58.630
1.981	59.176
2.031	60.270
2.082	60.817
2.131	61.910
2.181	62.457
2.231	63.004
2.281	63.550
2.331	64.644
2.381	65.191
2.431	66.284
2.481	66.831
2.531	67.378
2.581	68.471
2.631	69.018
2.681	70.111
2.731	70.658
2.781	71.205
2.831	72.298
2.881	72.845
2.931	73.938
2.981	74.485
3.031	75.032
3.081	76.125
3.131	76.672
3.181	77.766
3.231	78.312
3.281	78.859
3.331	79.953
3.381	80.499
3.431	81.046
3.481	82.140
3.531	82.686
3.581	83.780
3.631	84.327
3.681	84.873
3.731	85.967
3.781	86.514
3.831	87.060
3.881	88.154
3.931	88.701
3.981	89.794
4.031	90.341
4.081	90.887
4.131	91.981
4.181	92.528
4.231	93.621
4.281	94.168
4.331	94.715
4.381	95.808
4.431	96.355
4.481	96.902
4.531	97.995
4.581	98.542
4.631	99.635
4.681	100.182
4.731	100.729
4.781	101.822
4.831	102.369
4.882	103.463
4.932	104.009
4.981	104.556
5.031	105.650
5.081	106.196
5.131	106.743
5.181	107.837
5.231	108.383
5.281	109.477
5.331	110.024
5.381	110.570
5.431	111.664
5.481	112.210
5.531	112.757
5.581	113.851
5.631	114.397
5.681	114.944
5.731	116.038
5.781	116.584
5.831	117.678
5.881	118.225
5.931	118.771
5.981	119.865
6.031	120.412
6.081	121.505
6.131	122.052
6.182	122.599
6.231	123.692
6.281	124.239
6.331	125.332
6.381	125.879
6.431	126.426
6.481	127.519
6.531	128.066
6.581	128.613
6.631	129.706
6.681	130.253
6.731	130.800
6.781	131.893
6.831	132.440
6.881	133.533
6.931	134.080
6.981	134.627
7.031	135.720
7.081	136.267
7.131	136.814
7.181	137.907
7.231	138.454
7.282	139.001
7.332	140.094
7.381	140.641
7.431	141.735
7.482	142.281
7.531	142.828
7.582	143.922
7.631	144.468
7.682	145.015
7.731	146.109
7.782	146.655
7.831	147.749
7.881	148.296
7.931	148.842
7.981	149.936
8.031	150.483
8.081	151.029
8.131	152.123
8.181	152.670
8.231	153.216
8.281	154.310
8.331	154.856
8.381	155.403
8.431	156.497
8.481	157.043
8.531	158.137
8.581	158.684
8.631	159.230
8.681	160.324
8.731	160.871
8.781	161.417
8.832	162.511
8.881	163.058
8.931	164.151
8.982	164.698
9.031	165.245
9.081	166.338
9.131	166.885
9.181	167.432
9.231	168.525
9.281	169.072
9.331	169.619
9.381	170.712
9.432	171.259
9.481	172.352
9.531	172.899
9.581	173.446
9.631	174.539
9.681	175.086
9.731	175.633
9.781	176.726
9.831	177.273
9.881	178.366
9.931	178.913
9.981	179.460
10.031	180.007
