Motion Through Fluids Experiment Fri, Mar 13, 2020 9:45 AM
Time(sec)	Position(mm)
0.023	36.213
0.073	37.853
0.123	39.494
0.173	41.134
0.223	42.227
0.273	43.868
0.323	45.508
0.373	47.148
0.423	48.241
0.473	49.882
0.523	51.522
0.573	53.162
0.623	54.802
0.674	55.896
0.724	57.536
0.773	59.176
0.823	60.817
0.873	62.457
0.923	63.550
0.973	65.191
1.023	66.831
1.073	68.471
1.123	70.111
1.173	71.205
1.223	72.845
1.273	74.485
1.323	76.125
1.373	77.219
1.423	78.859
1.473	80.499
1.523	82.140
1.573	83.233
1.624	84.873
1.673	86.514
1.723	88.154
1.773	89.247
1.823	90.887
1.873	92.528
1.923	94.168
1.973	95.808
2.023	96.902
2.073	98.542
2.123	100.182
2.173	101.822
2.223	102.916
2.273	104.556
2.323	106.196
2.373	107.837
2.424	108.930
2.474	110.570
2.523	112.210
2.573	113.851
2.623	114.944
2.673	116.584
2.723	118.225
2.773	119.318
2.823	120.958
2.873	122.599
2.923	124.239
2.973	125.332
3.023	126.973
3.073	128.613
3.123	130.253
3.174	131.347
3.223	132.987
3.273	134.627
3.323	136.267
3.374	137.361
3.423	139.001
3.473	140.641
3.523	142.281
3.573	143.375
3.623	145.015
3.673	146.655
3.723	148.296
3.773	149.389
3.823	151.029
3.873	152.670
3.923	154.310
3.973	155.950
4.023	157.043
4.073	158.684
4.123	160.324
4.173	161.417
4.223	163.058
4.273	164.698
4.323	166.338
4.373	167.432
4.423	169.072
4.473	170.712
4.523	172.352
4.573	173.446
4.623	175.086
4.673	176.726
4.723	178.366
4.773	179.460
4.823	181.100
4.873	182.740
4.923	184.381
4.973	186.021
5.023	187.114
5.073	188.755
5.123	190.395
5.174	192.035
5.223	193.129
5.273	194.769
5.323	196.409
5.373	197.502
5.423	199.143
5.473	200.783
5.523	202.423
5.573	203.517
5.623	205.157
5.673	206.797
5.723	208.437
5.773	209.531
5.824	211.171
5.873	212.811
5.923	214.452
5.973	215.545
