Motion Through Fluids Experiment Fri, Mar 13, 2020 10:05 AM
Time(sec)	Position(mm)
0.026	70.658
0.076	76.672
0.126	82.140
0.176	87.607
0.226	93.074
0.276	98.542
0.326	104.556
0.376	110.024
0.426	115.491
0.476	120.958
0.526	126.426
0.576	131.893
0.626	137.907
0.676	143.375
0.726	149.389
0.776	154.856
0.826	160.324
0.876	166.338
0.926	171.806
0.976	177.820
1.026	183.287
1.076	188.755
1.126	194.769
1.176	200.236
1.226	206.250
1.276	211.718
1.326	217.732
1.376	223.199
1.426	228.667
1.476	234.681
1.526	240.148
1.576	246.163
1.627	252.177
1.676	0.000
1.726	0.000
1.776	0.000
1.826	0.000
1.876	0.000
1.926	0.000
1.976	0.000
2.026	0.000
2.076	0.000
2.126	0.000
2.176	0.000
2.226	0.000
2.276	0.000
2.326	0.000
2.376	0.000
2.426	0.000
2.476	0.000
2.526	0.000
2.576	0.000
2.626	0.000
2.676	0.000
2.726	0.000
2.776	0.000
2.826	0.000
2.876	0.000
2.926	0.000
2.976	0.000
3.026	0.000
3.076	0.000
3.126	0.000
3.176	0.000
3.226	0.000
3.276	0.000
3.326	0.000
3.376	0.000
3.426	0.000
3.476	0.000
3.526	0.000
3.576	0.000
3.626	0.000
3.676	0.000
3.726	0.000
3.776	0.000
3.826	0.000
3.876	0.000
3.926	0.000
3.976	0.000
