Motion Through Fluids Experiment Mon, Mar 09, 2020 3:50 PM
Time(sec)	Position(mm)
0.042	60.817
0.092	66.284
0.142	71.205
0.192	76.125
0.242	81.593
0.292	87.060
0.342	92.528
0.392	97.995
0.442	103.463
0.492	109.477
0.542	114.944
0.592	120.958
0.642	126.426
0.693	131.893
0.742	137.907
0.792	143.375
0.843	149.389
0.892	154.856
0.942	160.871
0.992	166.338
1.042	171.806
1.092	177.820
1.142	183.287
1.193	188.755
1.242	194.222
1.292	200.236
1.342	205.704
1.392	211.718
1.442	217.732
1.492	223.199
1.542	229.214
1.592	235.228
1.642	240.695
1.692	246.709
1.742	252.724
1.792	0.000
1.842	0.000
1.892	0.000
1.942	0.000
1.992	0.000
2.042	0.000
2.092	0.000
2.142	0.000
2.192	0.000
2.242	0.000
2.292	0.000
2.342	0.000
2.392	0.000
2.442	0.000
2.492	0.000
2.542	0.000
2.592	0.000
2.642	0.000
2.692	0.000
2.742	0.000
2.792	0.000
2.842	0.000
2.893	0.000
2.942	0.000
2.992	0.000
3.042	0.000
3.092	0.000
3.142	0.000
3.192	0.000
3.242	0.000
3.292	0.000
3.342	0.000
3.392	0.000
3.442	0.000
3.492	0.000
3.543	0.000
3.642	0.000
3.692	0.000
3.742	0.000
3.792	0.000
3.842	0.000
3.892	0.000
3.942	0.000
3.992	0.000
4.042	0.000
