Motion Through Fluids Experiment Mon, Mar 09, 2020 4:20 PM
Time(sec)	Position(mm)
0.021	0.000
0.071	0.000
0.121	0.675
0.171	1.222
0.221	1.222
0.271	1.768
0.321	2.315
0.371	2.862
0.421	3.409
0.471	3.955
0.521	4.502
0.571	4.502
0.621	5.049
0.671	5.595
0.721	6.142
0.771	6.689
0.821	7.236
0.871	7.236
0.921	7.782
0.971	8.329
1.021	8.876
1.071	9.423
1.121	9.969
1.171	9.969
1.221	10.516
1.271	11.063
1.321	11.610
1.371	12.156
1.421	12.156
1.471	12.703
1.521	13.250
1.571	13.797
1.621	14.343
1.672	14.890
1.721	14.890
1.772	15.437
1.821	15.984
1.871	16.530
1.921	17.077
1.971	17.624
2.021	17.624
2.071	18.171
2.121	18.717
2.171	19.264
2.221	19.811
2.271	19.811
2.321	20.358
2.371	20.904
2.422	21.451
2.472	21.998
2.521	22.545
2.571	22.545
2.621	23.091
2.671	23.638
2.721	24.185
2.771	24.732
2.821	24.732
2.871	25.278
2.921	25.825
2.971	26.372
3.021	26.918
3.071	27.465
3.121	27.465
3.171	28.012
3.221	28.559
3.271	29.105
3.321	29.652
3.371	29.652
3.421	30.199
3.471	30.746
3.521	31.292
3.571	31.839
3.621	32.386
3.671	32.386
3.721	32.933
3.771	33.479
3.821	34.026
3.871	34.573
3.921	34.573
3.971	35.120
4.021	35.666
4.072	36.213
4.122	36.760
4.172	36.760
4.221	37.307
4.271	37.853
4.321	38.400
4.371	38.947
4.421	39.494
4.471	39.494
4.521	40.040
4.571	40.587
4.621	41.134
4.671	41.681
4.722	42.227
4.771	42.227
4.821	42.774
4.871	43.321
4.921	43.868
4.971	44.414
5.021	44.961
5.071	44.961
5.121	45.508
5.171	46.055
5.221	46.601
5.271	47.148
5.321	47.148
5.371	47.695
5.421	48.241
5.471	48.788
5.521	49.335
5.571	49.882
5.621	49.882
5.671	50.428
5.721	50.975
5.771	51.522
5.821	52.069
5.871	52.615
5.921	52.615
5.971	53.162
6.021	53.709
6.071	54.256
6.121	54.802
6.171	55.349
6.221	55.349
6.271	55.896
6.321	56.443
6.371	56.989
6.421	57.536
6.471	57.536
6.521	58.083
6.571	58.630
6.621	59.176
6.671	59.723
6.721	59.723
6.771	60.270
6.821	60.817
6.871	61.363
6.922	61.910
6.971	61.910
7.021	62.457
7.071	63.004
7.121	63.550
7.171	64.097
7.221	64.097
7.271	64.644
7.321	65.191
7.371	65.737
7.421	66.284
7.471	66.284
7.521	66.831
7.572	67.378
7.621	67.924
7.671	68.471
7.721	69.018
7.771	69.018
7.822	69.564
7.871	70.111
7.921	70.658
7.971	71.205
8.022	71.205
8.071	71.751
8.121	72.298
8.171	72.845
8.222	73.392
8.272	73.392
8.321	73.938
8.371	74.485
8.421	75.032
8.471	75.579
8.521	76.125
8.571	76.125
8.621	76.672
8.672	77.219
8.722	77.766
8.771	78.312
8.821	78.312
8.871	78.859
8.921	79.406
8.971	79.953
9.021	80.499
9.071	80.499
9.121	81.046
9.171	81.593
9.221	82.140
9.271	82.686
9.321	82.686
9.371	83.233
9.421	83.780
9.471	84.327
9.521	84.873
9.571	85.420
9.621	85.967
9.671	85.967
9.721	86.514
9.771	87.060
9.821	87.607
9.871	87.607
9.921	88.154
9.971	88.701
