Motion Through Fluids Experiment Mon, Mar 09, 2020 3:46 PM
Time(sec)	Position(mm)
0.019	42.774
0.119	51.522
0.169	55.896
0.219	60.270
0.269	65.191
0.319	69.564
0.369	73.938
0.419	78.859
0.469	83.233
0.519	88.154
0.570	92.528
0.619	97.448
0.669	102.369
0.719	106.743
0.769	111.117
0.819	116.038
0.869	120.412
0.919	125.332
0.970	129.706
1.019	134.627
1.070	139.001
1.119	143.922
1.169	148.296
1.219	153.216
1.270	157.043
1.319	161.964
1.370	166.338
1.419	170.712
1.470	175.086
1.519	180.007
1.569	184.381
1.619	189.301
1.669	193.675
1.719	198.049
1.769	202.423
1.819	206.797
1.869	211.171
1.919	216.092
1.969	219.919
2.019	224.840
2.069	229.214
2.119	233.588
2.169	237.962
2.220	242.882
2.269	246.709
2.319	251.083
2.369	255.457
2.419	0.000
2.469	0.000
2.519	0.000
2.569	0.000
2.619	0.000
2.669	0.000
2.719	0.000
2.769	0.000
2.819	0.000
2.869	0.000
2.920	0.000
2.969	0.000
3.019	0.000
3.069	0.000
3.119	0.000
3.169	0.000
3.220	0.000
3.269	0.000
3.319	0.000
3.369	0.000
3.419	0.000
3.469	0.000
3.519	0.000
3.569	0.000
3.619	0.000
3.669	0.000
3.719	0.000
3.769	0.000
3.819	0.000
3.869	0.000
3.919	0.000
3.969	0.000
4.019	0.000
4.069	0.000
4.119	0.000
4.169	0.000
4.219	0.000
4.269	0.000
4.319	0.000
4.369	0.000
4.419	0.000
4.469	0.000
4.519	0.000
4.569	0.000
4.619	0.000
4.669	0.000
4.719	0.000
4.769	0.000
4.819	0.000
4.869	0.000
4.919	0.000
4.969	0.000
5.019	0.000
