Motion Through Fluids Experiment Fri, Mar 13, 2020 9:29 AM
Time(sec)	Position(mm)
0.013	0.000
0.063	0.000
0.113	0.000
0.163	0.000
0.213	0.000
0.263	0.000
0.313	0.000
0.363	0.000
0.413	0.000
0.463	0.000
0.514	0.000
0.563	0.000
0.613	0.000
0.663	0.000
0.713	0.000
0.763	0.000
0.813	0.000
0.863	0.000
0.913	0.000
0.964	0.000
1.013	0.000
1.063	0.000
1.113	0.000
1.163	0.000
1.213	0.000
1.264	0.000
1.313	0.000
1.364	0.000
1.413	0.000
1.463	0.000
1.513	0.000
1.563	0.000
1.614	0.000
1.663	0.675
1.713	0.675
1.763	1.222
1.814	1.222
1.863	1.222
1.913	1.768
1.963	1.768
2.013	1.768
2.063	2.315
2.113	2.315
2.163	2.315
2.213	2.862
2.263	2.862
2.313	3.409
2.363	3.409
2.413	3.409
2.463	3.955
2.513	3.955
2.563	3.955
2.613	4.502
2.663	4.502
2.713	4.502
2.763	5.049
2.813	5.049
2.863	5.595
2.913	5.595
2.963	5.595
3.013	6.142
3.063	6.142
3.113	6.142
3.163	6.689
3.213	6.689
3.263	6.689
3.313	7.236
3.363	7.236
3.413	7.236
3.463	7.782
3.513	7.782
3.563	7.782
3.613	8.329
3.663	8.329
3.713	8.329
3.764	8.876
3.813	8.876
3.863	8.876
3.913	9.423
3.963	9.423
4.013	9.423
4.063	9.969
4.113	9.969
4.163	9.969
4.213	10.516
4.263	10.516
4.313	10.516
4.363	11.063
4.413	11.063
4.463	11.610
4.513	11.610
4.563	11.610
4.613	11.610
4.663	12.156
4.713	12.156
4.763	12.703
4.813	12.703
4.863	12.703
4.913	13.250
4.964	13.250
5.014	13.250
5.063	13.797
5.113	13.797
5.163	13.797
5.213	14.343
5.263	14.343
5.313	14.343
5.363	14.890
5.413	14.890
5.463	14.890
5.513	15.437
5.563	15.437
5.613	15.984
5.663	15.984
5.713	15.984
5.763	16.530
5.813	16.530
5.863	16.530
5.914	17.077
5.963	17.077
6.013	17.077
6.063	17.624
6.113	17.624
6.163	17.624
6.213	18.171
6.263	18.171
6.313	18.171
6.363	18.717
6.413	18.717
6.463	18.717
6.513	19.264
6.563	19.264
6.613	19.264
6.663	19.811
6.713	19.811
6.763	19.811
6.813	20.358
6.863	20.358
6.913	20.358
6.963	20.904
7.013	20.904
7.063	20.904
7.113	21.451
7.163	21.451
7.213	21.998
7.263	21.998
7.313	21.998
7.363	21.998
7.413	22.545
7.463	22.545
7.513	22.545
7.563	23.091
7.613	23.091
7.663	23.091
7.714	23.638
7.763	23.638
7.813	24.185
7.863	24.185
7.913	24.185
7.963	24.732
8.013	24.732
8.063	24.732
8.113	25.278
8.163	25.278
8.213	25.278
8.263	25.825
8.313	25.825
8.363	25.825
8.414	26.372
8.464	26.372
8.513	26.372
8.563	26.918
8.613	26.918
8.663	27.465
8.713	27.465
8.763	27.465
8.813	27.465
8.863	28.012
8.913	28.012
8.963	28.012
9.013	28.559
9.063	28.559
9.113	29.105
9.163	29.105
9.213	29.105
9.263	29.652
9.313	29.652
9.363	29.652
9.413	30.199
9.463	30.199
9.513	30.199
9.563	30.746
9.613	30.746
9.663	30.746
9.713	31.292
9.763	31.292
9.813	31.292
9.863	31.839
9.913	31.839
9.963	31.839
10.013	32.386
10.063	32.386
10.113	32.386
10.163	32.933
10.213	32.933
10.263	32.933
10.313	33.479
10.363	33.479
10.413	33.479
10.463	34.026
10.513	34.026
10.563	34.026
10.613	34.573
10.663	34.573
10.714	35.120
10.763	35.120
10.813	35.120
10.863	35.666
10.913	35.666
10.963	35.666
11.013	36.213
11.063	36.213
11.114	36.213
11.163	36.760
11.214	36.760
11.263	36.760
11.313	37.307
11.363	37.307
11.413	37.307
11.463	37.853
11.513	37.853
11.563	37.853
11.613	38.400
11.663	38.400
11.713	38.400
11.763	38.947
11.813	38.947
11.863	38.947
11.914	39.494
11.963	39.494
