Motion Through Fluids Experiment Fri, Mar 13, 2020 10:10 AM
Time(sec)	Position(mm)
0.049	85.420
0.099	91.434
0.149	97.995
0.199	104.009
0.249	110.570
0.299	116.584
0.349	122.599
0.399	128.613
0.449	135.174
0.499	141.188
0.549	147.202
0.599	153.763
0.649	160.324
0.699	166.338
0.749	172.899
0.799	178.913
0.849	185.474
0.899	192.035
0.949	198.596
0.999	204.610
1.049	211.171
1.099	217.732
1.149	224.293
1.199	230.854
1.249	236.868
1.299	243.429
1.349	249.990
1.399	254.911
1.449	0.000
1.499	0.000
1.549	0.000
1.599	0.000
1.649	0.000
1.699	0.000
1.749	0.000
1.799	0.000
1.849	0.000
1.899	0.000
1.949	0.000
2.000	0.000
2.049	0.000
2.099	0.000
2.149	0.000
2.199	0.000
2.249	0.000
2.299	0.000
2.349	0.000
2.399	0.000
2.449	0.000
2.499	0.000
2.549	0.000
2.599	0.000
2.649	0.000
2.699	0.000
2.749	0.000
2.799	0.000
2.849	0.000
2.899	0.000
2.949	0.000
2.999	0.000
3.049	0.000
3.099	0.000
3.149	0.000
3.199	0.000
3.249	0.000
3.299	0.000
3.349	0.000
3.399	0.000
3.449	0.000
3.499	0.000
3.550	0.000
3.599	0.000
3.649	0.000
3.699	0.000
3.749	0.000
3.799	0.000
3.849	0.000
3.899	0.000
3.949	0.000
3.999	0.000
