current,voltage,resistor_id

1.373,1.122,1
3.81,3.11,1
6.30,5.12,1
6.82,5.53,1
9.36,7.60,1
9.49,7.72,1
14.22,11.56,1
15.57,12.67,1
17.07,13.83,1
19.36,15.64,1
0.131,4.42,2
0.170,5.57,2
0.187,6.23,2
0.232,7.74,2
0.301,10.06,2
0.345,11.54,2
0.401,13.41,2
0.456,15.23,2
0.518,17.37,2
0.585,19.55,2
1.96,1.33,3
7.34,4.96,3
8.22,5.50,3
10.77,7.27,3
11.50,7.76,3
14.35,9.67,3
16.89,11.38,3
18.55,12.45,3
23.8,15.97,3
26.2,17.50,3
0.518,4.34,4
0.675,5.58,4
0.785,6.49,4
0.926,7.65,4
1.060,8.77,4
1.382,11.43,4
1.448,11.97,4
1.666,13.78,4
1.869,15.48,4
2.13,17.60,4
