current,voltage,resistor_id
1.373,1.122,1
3.81,3.11,1
6.30,5.12,1
6.82,5.53,1
9.36,7.60,1
9.49,7.72,1
14.22,11.56,1
15.57,12.67,1
17.07,13.83,1
19.36,15.64,1
0.518,4.34,2
0.675,5.58,2
0.785,6.49,2
0.926,7.65,2
1.060,8.77,2
1.382,11.43,2
1.448,11.97,2
1.666,13.78,2
1.869,15.48,2
2.13,17.60,2
0.131,4.42,3
0.170,5.57,3
0.187,6.23,3
0.232,7.74,3
0.301,10.06,3
0.345,11.54,3
0.401,13.41,3
0.456,15.23,3
0.518,17.37,3
0.585,19.55,3
1.96,1.33,4
7.34,4.96,4
8.22,5.50,4
10.77,7.27,4
11.50,7.76,4
14.35,9.67,4
16.89,11.38,4
18.55,12.45,4
23.8,15.97,4
26.2,17.50,4
