voltage,current,uvoltage,ucurrent
6.11,22,0.015275,0.165
6.12,9.2,0.0153,0.1
6.12,2.4,0.0153,0.1
6.12,0.8,0.0153,0.1
6.11,22,0.015275,0.165
6.12,9.3,0.0153,0.1
6.13,2.4,0.015325,0.1
6.14,0.8,0.01535,0.1
9.97,35.9,0.024925,0.26925
9.99,15.1,0.024975,0.11325
10,4,0.025,0.1
10.01,1.3,0.025025,0.1
15.03,54.1,0.037575,0.40575
15.07,22.8,0.037675,0.171
15.11,6.1,0.037775,0.1
15.12,2,0.0378,0.1
19.26,69.3,0.04815,0.51975
19.29,29.2,0.048225,0.219
19.31,7.8,0.048275,0.1
19.32,2.6,0.0483,0.1
