Sample	Distance(cm)
0	23.3782	
1	23.3714	
2	23.3688	
3	23.3662	
4	23.3378	
5	23.3266	
6	23.3241	
7	23.3344	
8	23.3146	
9	23.3163	
10	23.309	
11	23.3021	
12	23.3038	
13	23.297	
14	23.303	
15	23.2918	
16	23.2935	
17	23.2952	
18	23.3013	
19	23.2987	
20	23.2746	
21	23.2677	
22	23.2608	
23	23.2583	
24	23.2514	
25	23.2484	
26	23.2458	
27	23.2389	
28	23.2277	
29	23.2209	
30	23.2183	
31	23.2157	
32	23.2131	
33	23.2062	
34	23.2037	
35	23.1839	
36	23.1813	
37	23.1787	
38	23.1804	
39	23.1779	
40	23.1839	
41	23.1938	
42	23.1869	
43	23.1757	
44	23.1688	
45	23.1447	
46	23.1379	
47	23.1052	
48	23.0725	
49	23.057	
50	23.0458	
51	23.0261	
52	23.002	
53	22.9779	
54	22.9366	
55	22.8782	
56	22.7724	
57	22.6623	
58	22.5733	
59	22.5062	
60	22.4391	
61	22.3591	
62	22.2749	
63	22.1992	
64	22.1192	
65	22.0349	
66	21.9248	
67	21.8492	
68	21.7778	
69	21.6505	
70	21.5275	
71	21.383	
72	21.2644	
73	21.15	
74	21.0141	
75	20.9126	
76	20.8068	
77	20.6753	
78	20.5776	
79	20.4504	
80	20.3274	
81	20.2259	
82	20.1158	
83	20.023	
84	19.9387	
85	19.82	
86	19.74	
87	19.7331	
88	19.666	
89	19.5087	
90	19.4072	
91	19.3659	
92	19.316	
93	19.2446	
94	19.1647	
95	19.1105	
96	19.0606	
97	19.0189	
98	18.9862	
99	18.9621	
100	18.9424	
101	18.9269	
102	18.9243	
103	18.926	
104	18.9234	
105	18.9381	
106	18.9527	
107	18.9759	
108	18.9991	
109	19.0266	
110	19.0542	
111	19.086	
112	19.1092	
113	19.1492	
114	19.181	
115	19.2214	
116	19.2575	
117	19.2937	
118	19.3341	
119	19.3616	
120	19.402	
121	19.4424	
122	19.4786	
123	19.5147	
124	19.5508	
125	19.5826	
126	19.6187	
127	19.6329	
128	19.6691	
129	19.7009	
130	19.7327	
131	19.7559	
132	19.7791	
133	19.7938	
134	19.7998	
135	19.8144	
136	19.829	
137	19.8393	
138	19.8497	
139	19.86	
140	19.866	
141	19.8677	
142	19.8604	
143	19.8664	
144	19.8681	
145	19.8785	
146	19.8802	
147	19.8862	
148	19.8965	
149	19.9069	
150	19.9	
151	19.9146	
152	19.9206	
153	19.9266	
154	19.9326	
155	19.943	
156	19.9576	
157	19.9675	
158	19.9907	
159	20.0182	
160	20.0543	
161	20.0991	
162	20.1481	
163	20.1885	
164	20.2289	
165	20.2607	
166	20.3098	
167	20.3803	
168	20.5583	
169	20.6374	
170	20.695	
171	20.7479	
172	20.8012	
173	20.8288	
174	20.8821	
175	20.9311	
176	20.9758	
177	21.0291	
178	21.0653	
179	21.1143	
180	21.1504	
181	21.2037	
182	21.2614	
183	21.3276	
184	21.4153	
185	21.4897	
186	21.5559	
187	21.6307	
188	21.7141	
189	21.8449	
190	21.9842	
191	22.0633	
192	22.2886	
193	22.3333	
194	22.5759	
195	22.5948	
196	22.7857	
197	23.002	
198	23.1413	
199	23.2505	
200	23.4759	
201	23.7141	
202	23.8921	
203	24.0529	
204	24.2438	
205	24.3401	
206	24.4537	
207	24.5715	
208	24.6029	
209	24.6605	
210	24.7224	
211	24.7757	
212	24.8291	
213	24.8953	
214	24.9916	
215	25.0922	
216	25.1025	
217	25.1043	
218	25.0458	
219	24.9959	
