Sampleid,Distance
0,18.561
1,18.4681
2,18.4397
3,18.45
4,18.4556
5,18.4616
6,18.4504
7,18.4049
8,18.3851
9,18.447
10,18.5433
11,18.6482
12,18.7876
13,18.957
14,19.1522
15,19.3689
16,19.5985
17,19.8406
18,20.1046
19,20.3644
20,20.6284
21,20.8881
22,21.1521
23,21.4118
24,21.6673
25,21.9313
26,22.1863
27,22.4503
28,22.71
29,22.9611
30,23.208
31,23.4505
32,23.6758
33,23.8839
34,24.049
35,24.2185
36,24.3401
37,24.458
38,24.5371
39,24.5818
40,24.5878
41,24.5767
42,24.5483
43,24.4984
44,24.4356
45,24.3556
46,24.2498
47,24.1312
48,23.9953
49,23.8336
50,23.6547
51,23.4672
52,23.254
53,23.0231
54,22.7711
55,22.5105
56,22.2327
57,21.9463
58,21.66
59,21.3779
60,21.0958
61,20.8223
62,20.5531
63,20.3012
64,20.0406
65,19.8058
66,19.5753
67,19.3792
68,19.1961
69,19.0258
70,18.8383
71,18.6594
72,18.4977
73,18.392
74,18.2991
75,18.2406
76,18.2079
77,18.1967
78,18.2114
79,18.2642
80,18.3907
81,18.5515
82,18.6736
83,18.8043
84,18.9609
85,19.1131
86,19.2954
87,19.4648
88,19.6643
89,19.8854
90,20.1446
91,20.4216
92,20.6985
93,20.9926
94,21.291
95,21.6195
96,22.1029
97,22.4486
98,22.7552
99,23.0235
100,23.2703
101,23.4483
102,23.5446
103,23.6625
104,23.8405
105,24.0185
106,24.1965
107,24.3616
108,24.5397
109,24.7947
110,24.9598
111,25.0905
112,25.1438
113,25.1756
114,25.2075
115,25.1834
116,25.1335
117,25.0105
118,24.8359
119,24.6442
120,24.2976
121,24.0972
122,23.8968
123,23.6878
124,23.4703
125,23.2312
126,23.0007
127,22.7655
128,22.5221
129,22.2701
130,22.0052
131,21.7404
132,21.4626
133,21.1719
134,20.8769
135,20.5776
136,20.2569
137,19.9748
138,19.7271
139,19.5009
140,19.3005
141,19.1045
142,18.9385
143,18.8069
144,18.6882
145,18.5695
146,18.4939
147,18.4268
148,18.364
149,18.3442
150,18.3459
151,18.3692
152,18.4178
153,18.4926
154,18.5932
155,18.7153
156,18.846
157,19.0155
158,19.1935
159,19.3973
160,19.6011
161,19.8221
162,20.0604
163,20.3068
164,20.5407
165,20.7918
166,21.0601
167,21.3241
168,21.5968
169,21.8694
170,22.1377
171,22.3888
172,22.6524
173,22.9078
174,23.1675
175,23.423
176,23.6354
177,23.8177
178,23.9957
179,24.1178
180,24.24
