Sample,Distance
0,16.9871
1,16.3654
2,15.7178
3,15.569
4,15.5621
5,16.6001
6,19.0137
7,18.6887
8,18.3679
9,18.0772
10,17.8037
11,17.5302
12,17.2955
13,17.0865
14,16.8947
15,16.7545
16,16.6573
17,16.6032
18,16.5963
19,16.6238
20,16.6986
21,16.8762
22,17.1058
23,17.3011
24,17.4748
25,17.6743
26,17.891
27,18.1034
28,18.3459
29,18.6745
30,19.0632
31,19.4859
32,19.9004
33,20.3321
34,20.7767
35,21.4235
36,21.9498
37,22.4116
38,22.8644
39,23.2402
40,23.6074
41,23.9574
42,24.2559
43,24.5371
44,24.7366
45,25.0221
46,25.3029
47,25.5626
48,25.8095
49,26.0993
50,26.359
51,26.5456
52,26.6505
53,26.7727
54,26.9765
55,27.0814
56,27.0612
57,26.8393
58,26.6432
59,26.301
60,26.0834
61,25.7669
62,25.33
63,25.0092
64,24.6884
65,24.3505
66,23.9824
67,23.5928
68,23.2161
69,22.8394
70,22.4585
71,22.0689
72,21.7094
73,21.3972
74,20.9173
75,20.4289
76,19.992
77,19.5164
78,19.0709
79,18.7157
80,18.3821
81,18.0742
82,17.7749
83,17.5186
84,17.2967
85,17.1093
86,16.9562
87,16.8375
88,16.7575
89,16.6905
90,16.6449
91,16.6509
92,16.687
93,16.8044
94,17.0899
95,17.2507
96,17.2826
97,17.4649
98,17.7117
99,18.0058
100,18.3171
101,18.6543
102,19.0038
103,19.3668
104,19.7383
105,20.1012
106,20.4985
107,20.9001
108,21.3147
109,21.7378
110,22.1562
111,22.5793
112,22.9938
113,23.3825
114,23.767
115,24.1428
116,24.4799
117,24.8084
118,25.0978
119,25.3575
120,25.5742
121,25.7609
122,25.926
123,26.0438
124,26.1358
125,26.1719
126,26.1952
127,26.1797
128,26.1169
129,26.0455
130,25.9436
131,25.812
132,25.6676
133,25.5059
134,25.2926
135,25.032
136,24.7284
137,24.4163
138,24.0697
139,23.6887
140,23.2948
141,22.8794
142,22.4512
143,22.0014
144,21.5688
145,21.1448
146,20.7595
147,20.4044
148,20.0578
149,19.7069
150,19.3732
151,19.0524
152,18.7403
153,18.4195
154,18.0944
155,17.8166
156,17.556
157,17.317
158,17.1209
159,16.9721
160,16.9136
