 Radioactive Decay Experiment Feb 7, 2020 9:11 AM
Sample Number	Number of Counts
1	3
2	0
3	0
4	1
5	0
6	2
7	0
8	2
9	2
10	0
11	1
12	1
13	1
14	0
15	0
16	1
17	0
18	0
19	0
20	1
21	0
22	0
23	1
24	1
25	1
26	2
27	1
28	1
29	2
30	0
31	0
32	0
33	1
34	1
35	1
36	0
37	0
38	1
39	0
40	0
41	0
42	0
43	0
44	0
45	1
46	1
47	2
48	0
49	0
50	1
51	2
52	0
53	0
54	1
55	1
56	1
57	1
58	0
59	1
60	1
61	1
62	1
63	1
64	0
65	0
66	1
67	0
68	0
69	1
70	1
71	1
72	1
73	0
74	1
75	0
76	0
77	0
78	0
79	0
80	2
81	1
82	0
83	0
84	0
85	0
86	1
87	0
88	0
89	0
90	1
91	0
92	0
93	0
94	1
95	3
96	0
97	0
98	0
99	1
100	0
101	1
102	1
103	0
104	0
105	1
106	0
107	0
108	2
109	1
110	0
111	2
112	1
113	1
114	0
115	0
116	0
117	0
118	0
119	1
120	0
121	0
122	1
123	1
124	1
125	1
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	3
141	1
142	1
143	0
144	2
145	1
146	0
147	1
148	0
149	3
150	0
151	0
152	2
153	0
154	0
155	2
156	0
157	1
158	2
159	2
160	2
161	0
162	3
163	0
164	0
165	0
166	1
167	1
168	0
169	0
170	1
171	0
172	0
173	0
174	0
175	0
176	0
177	1
178	1
179	0
180	0
181	3
182	1
183	1
184	0
185	1
186	0
187	1
188	2
189	1
190	1
191	0
192	0
193	0
194	0
195	2
196	1
197	0
198	0
199	1
200	3
201	0
202	1
203	0
204	2
205	1
206	1
207	1
208	0
209	0
210	1
211	0
212	3
213	2
214	2
215	0
216	0
217	2
218	0
219	1
220	1
221	0
222	1
223	2
224	1
225	0
226	1
227	0
228	0
229	0
230	2
231	0
232	3
233	1
234	0
235	1
236	0
237	1
238	0
239	0
240	0
241	1
242	1
243	1
244	1
245	0
246	1
247	1
248	0
249	1
250	2
251	1
252	0
253	1
254	0
255	0
256	0
257	0
258	1
259	2
260	0
261	0
262	2
263	0
264	1
265	0
266	0
267	0
268	0
269	0
270	0
271	1
272	0
273	1
274	0
275	1
276	0
277	1
278	0
279	0
280	0
281	1
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	1
292	0
293	1
294	0
295	2
296	1
297	1
298	0
299	1
300	1
301	1
302	1
303	0
304	0
305	0
306	1
307	1
308	0
309	1
310	0
311	1
312	0
313	1
314	1
315	1
316	0
317	0
318	0
319	1
320	2
321	0
322	1
323	0
324	5
325	0
326	0
327	0
328	0
329	0
330	0
331	1
332	1
333	2
334	0
335	5
336	0
337	1
338	0
339	0
340	0
341	2
342	3
343	0
344	1
345	0
346	2
347	0
348	1
349	0
350	0
351	0
352	0
353	0
354	0
355	2
356	0
357	0
358	0
359	0
360	1
361	0
362	1
363	1
364	0
365	2
366	1
367	0
368	0
369	1
370	2
371	1
372	0
373	0
374	1
375	0
376	1
377	0
378	0
379	0
380	1
381	1
382	0
383	1
384	1
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	0
393	1
394	1
395	1
396	0
397	0
398	1
399	1
400	0
