 Radioactive Decay Experiment Feb 7, 2020 9:35 AM
Sample Number	Number of Counts
1	48
2	65
3	59
4	49
5	68
6	41
7	53
8	57
9	40
10	48
11	54
12	60
13	47
14	53
15	45
16	50
17	65
18	48
19	32
20	60
21	55
22	38
23	65
24	60
25	44
26	55
27	52
28	66
29	52
30	47
31	54
32	49
33	48
34	52
35	58
36	51
37	60
38	53
39	50
40	53
41	45
42	55
43	46
44	45
45	58
46	59
47	51
48	50
49	48
50	48
51	44
52	49
53	49
54	45
55	56
56	41
57	62
58	62
59	39
60	61
61	58
62	42
63	42
64	58
65	57
66	53
67	71
68	50
69	73
70	54
71	34
72	52
73	38
74	52
75	64
76	59
77	49
78	55
79	41
80	39
81	58
82	58
83	46
84	52
85	60
86	59
87	57
88	50
89	60
90	50
91	59
92	53
93	60
94	45
95	45
96	45
97	44
98	58
99	44
100	72
101	44
102	45
103	48
104	52
105	30
106	57
107	63
108	58
109	43
110	52
111	64
112	52
113	55
114	62
115	46
116	49
117	79
118	44
119	50
120	44
121	60
122	53
123	53
124	45
125	50
126	56
127	66
128	61
129	47
130	47
131	41
132	56
133	47
134	44
135	58
136	54
137	46
138	59
139	60
140	50
141	35
142	41
143	54
144	58
145	49
146	63
147	54
148	59
149	60
150	52
151	55
152	55
153	58
154	35
155	58
156	57
157	65
158	35
159	56
160	42
161	59
162	42
163	60
164	59
165	48
166	56
167	42
168	43
169	61
170	56
171	44
172	57
173	45
174	56
175	58
176	55
177	62
178	57
179	48
180	45
181	47
182	45
183	59
184	53
185	49
186	54
187	51
188	44
189	53
190	52
191	48
192	51
193	44
194	60
195	57
196	53
197	49
198	39
199	49
200	51
201	35
202	55
203	52
204	47
205	61
206	51
207	53
208	60
209	49
210	37
211	49
212	51
213	43
214	50
215	54
216	50
217	54
218	56
219	48
220	58
221	50
222	45
223	51
224	65
225	59
226	51
227	49
228	56
229	45
230	53
231	42
232	70
233	53
234	49
235	58
236	46
237	41
238	60
239	46
240	47
241	49
242	49
243	40
244	52
245	44
246	50
247	48
248	53
249	45
250	53
251	59
252	46
253	55
254	47
255	58
256	48
257	56
258	49
259	58
260	46
261	53
262	52
263	49
264	47
265	54
266	52
267	61
268	41
269	53
270	48
271	46
272	66
273	49
274	58
275	52
276	49
277	53
278	46
279	61
280	43
281	52
282	60
283	61
284	59
285	54
286	67
287	51
288	48
289	50
290	49
291	55
292	55
293	50
294	56
295	63
296	42
297	60
298	44
299	51
300	43
301	46
302	64
303	40
304	55
305	49
306	66
307	61
308	49
309	56
310	41
311	44
312	54
313	49
314	47
315	46
316	53
317	60
318	47
319	52
320	53
321	57
322	49
323	44
324	62
325	53
326	55
327	54
328	62
329	55
330	59
331	62
332	39
333	59
334	56
335	52
336	35
337	56
338	53
339	64
340	52
341	47
342	55
343	62
344	47
345	55
346	53
347	51
348	51
349	64
350	47
351	51
352	59
353	52
354	50
355	48
356	58
357	43
358	53
359	51
360	50
361	55
362	43
363	57
364	59
365	77
366	56
367	48
368	61
369	49
370	53
371	59
372	54
373	61
374	47
375	54
376	69
377	61
378	57
379	46
380	48
381	44
382	46
383	63
384	57
385	55
386	51
387	44
388	45
389	45
390	57
391	57
392	49
393	42
394	42
395	53
396	49
397	52
398	38
399	59
400	49
